#! time [s],	camera1/temperature_degC,	laser1/line1/measured_power,	laser1/line1/set_power,	laser2/line1/measured_power,	laser2/line1/set_power,	stagex/position,	stagex/velocity,	stagey/position,	stagey/velocity,	stagez/position,	stagez/velocity,	transmission/line1/measured_power,	transmission/line1/set_power
121.372,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
121.922,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
122.48,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
123.045,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
123.64,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
124.197,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
124.746,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
125.304,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
125.862,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
126.419,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
126.975,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
127.527,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
128.143,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
128.739,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
129.323,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
129.882,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
130.434,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
131.024,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
131.635,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
132.181,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
132.745,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
133.3,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
133.894,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
134.464,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
135.042,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
